"Maraial","Maraial","-8.8028","-35.8289","Brazil","BR","BRA","Pernambuco","","11220","1076038461"
"Marcali","Marcali","46.5831","17.4064","Hungary","HU","HUN","Somogy","minor","11169","1348924700"
"São Domingos","Sao Domingos","-13.3978","-46.3178","Brazil","BR","BRA","Goiás","","11272","1076319800"
"Bollullos de la Mitación","Bollullos de la Mitacion","37.3333","-6.1333","Spain","ES","ESP","Andalusia","","11099","1724782674"
"Oberderdingen","Oberderdingen","49.0625","8.8019","Germany","DE","DEU","Baden-Württemberg","","10948","1276945487"
"Hawera","Hawera","-39.5833","174.2833","New Zealand","NZ","NZL","Taranaki","","9792","1554872573"
"Edéia","Edeia","-17.3389","-49.9308","Brazil","BR","BRA","Goiás","","11266","1076066085"
"Križevci","Krizevci","46.0333","16.5333","Croatia","HR","HRV","Koprivničko-Križevačka Županija","minor","11231","1191282973"
"Belmonte Mezzagno","Belmonte Mezzagno","38.0500","13.3833","Italy","IT","ITA","Sicilia","","11239","1380633783"
"Drochtersen","Drochtersen","53.7000","9.3833","Germany","DE","DEU","Lower Saxony","","11184","1276168894"
"Pirangi","Pirangi","-21.0914","-48.6578","Brazil","BR","BRA","São Paulo","","11220","1076411878"
"Burkburnett","Burkburnett","34.0746","-98.5672","United States","US","USA","Texas","","11270","1840019278"
"Lighthouse Point","Lighthouse Point","26.2785","-80.0891","United States","US","USA","Florida","","11270","1840015998"
"Eunice","Eunice","30.4904","-92.4191","United States","US","USA","Louisiana","","11269","1840013927"
"Ganga Sāgar","Ganga Sagar","21.6571","88.0800","India","IN","IND","West Bengal","","10340","1356790764"
"Zaouiet Says","Zaouiet Says","32.7931","-8.6506","Morocco","MA","MAR","Casablanca-Settat","","11160","1504180910"
"Tetyushi","Tetyushi","54.9333","48.8333","Russia","RU","RUS","Tatarstan","","11250","1643097545"
"Joquicingo","Joquicingo","19.0556","-99.5467","Mexico","MX","MEX","México","minor","11042","1484561507"
"Mineral de Angangueo","Mineral de Angangueo","19.6206","-100.2844","Mexico","MX","MEX","Michoacán de Ocampo","minor","11120","1484121857"
